APRTMENT_LOCATION,APRTMENT_RENT,APRTMENT_DESPOSIT,APRTMENT_MAINTENANCE,APARTMENT_SQFT,RENT_TYPE,APARTMENT_FURNISHING,APRTMENT_TYPE,PREFERRED_TENANTS,APRTMENT_AVAILABLE_FROM
Madhura Chs for Rent  In Rj Thakur School And Degree College,"15,000","₹60,000",No Extra Maintenance,400 sqft,Negotiable,Semi Furnished,1 BHK,Family,Ready to Move
Vijay Nagari for Rent  In Thane,"23,000","₹1,00,000",No Extra Maintenance,963 sqft,Non-Negotiable,Semi Furnished,2 BHK,All,Ready to Move
"Trambakeshwar Apartment  for Rent  In Charai, Thane West","16,000","₹70,000",No Extra Maintenance,700 sqft,Negotiable,Unfurnished,1 BHK,Family,Ready to Move
"Sanghvi Hills for Rent  In Anand Nagar, Thane West","20,000","₹60,000",No Extra Maintenance,780 sqft,Non-Negotiable,Semi Furnished,2 BHK,Family,Ready to Move
Nilgiri Upvan Chs for Rent  In Thane West,"38,500","₹1,25,000",No Extra Maintenance,985 sqft,Negotiable,Fully Furnished,2 BHK,Family,01-Dec-2023
"Iris, Everest Countryside Kasarvadavali for Rent  In Iris Building, Everest Countryside","35,000","₹1,00,000",No Extra Maintenance,831 sqft,Negotiable,Fully Furnished,2 BHK,All,Ready to Move
Sai Apartment  for Rent  In Thane West,"18,000","₹75,000",No Extra Maintenance,550 sqft,Non-Negotiable,Unfurnished,2 BHK,Family,Ready to Move
Everest Countryside Petunia for Rent  In Kasarvadavali,"16,000","₹60,000",No Extra Maintenance,450 sqft,Negotiable,Fully Furnished,1 BHK,Family,Ready to Move
"Vardhman Gardens , for Rent  In Thane West","18,000","₹75,000",No Extra Maintenance,625 sqft,Non-Negotiable,Fully Furnished,1 BHK,All,Ready to Move
"Maitri Gardens Chs, Pokhran Road No.2 for Rent  In Maitri Gardens Apartments","45,000","₹2,00,000",No Extra Maintenance,"1,200 sqft",Non-Negotiable,Fully Furnished,3 BHK,All,Ready to Move
Brahmand Phase Iii for Rent  In Brahmand,"23,000","₹1,00,000",No Extra Maintenance,760 sqft,Negotiable,Semi Furnished,2 BHK,All,24-Oct-2023
Imperial Square for Rent  In Thane West,"14,500","₹58,000",No Extra Maintenance,582 sqft,Negotiable,Unfurnished,1 BHK,Family,Ready to Move
Lodha Splendora for Rent  In Thane West,"30,000","₹1,00,000",No Extra Maintenance,"1,100 sqft",Non-Negotiable,Semi Furnished,3 BHK,All,25-Oct-2023
Lodha Amara Kholset Road Thane for Rent  In Lodha Amara Thane,"34,000","₹1,00,000","+₹ 4,500Maintenance","1,050 sqft",Negotiable,Semi Furnished,2 BHK,Family,18-Oct-2023
Mount View  for Rent  In Kisan Nagar 3,"8,000","₹30,000",No Extra Maintenance,250 sqft,Non-Negotiable,Semi Furnished,1 RK,All,Ready to Move
Radhika Apartment for Rent  In S.t. Workshop,"13,000","₹70,000",No Extra Maintenance,450 sqft,Negotiable,Semi Furnished,1 BHK,"Family, Female",01-Nov-2023
"Bhoomi Acres, Thane West  for Rent  In Thane West","18,000","₹75,000",No Extra Maintenance,520 sqft,Negotiable,Unfurnished,1 BHK,All,Ready to Move
"Runwal Eirene Garden,  for Rent  In Thane West","41,000","₹2,00,000",No Extra Maintenance,830 sqft,Negotiable,Fully Furnished,2 BHK,Family,20-Oct-2023
"Puraniks Rumah Bali for Rent  In Bhayandarpada, Thane West","18,000","₹80,000",No Extra Maintenance,691 sqft,Non-Negotiable,Unfurnished,1 BHK,Company,Ready to Move
Ketki Apartment for Rent  In Thane West,"25,000","₹1,00,000",No Extra Maintenance,715 sqft,Negotiable,Semi Furnished,2 BHK,Family,Ready to Move
Bhakti Park for Rent  In Thane West,"19,500","₹60,000",No Extra Maintenance,840 sqft,Negotiable,Unfurnished,2 BHK,Family,Ready to Move
"One Hiranandani Park Cloverdale, Ghodbunder for Rent  In Ghodbunder","35,000","₹2,00,000",No Extra Maintenance,471 sqft,Non-Negotiable,Semi Furnished,1 BHK,All,25-Oct-2023
Puranik Capitol for Rent  In Thane West,"25,000","₹1,00,000",+No Extra Maintenance,996 sqft,Negotiable,Semi Furnished,2 BHK,Family,Ready to Move
Krupanidhi Society for Rent  In Krupanidhi Society,"22,000","₹1,20,000",No Extra Maintenance,650 sqft,Negotiable,Semi Furnished,1 BHK,All,Ready to Move
